match_id,match_date,team_a,team_b,group,stage,kickoff_time,venue,city,country,neutral,is_neutral,source,last_updated
wc2026_group_a_01,2026-06-11,Mexico,South Africa,A,group,,,,,true,true,fifa_schedule_manual_entry,2026-06-18
wc2026_group_a_02,2026-06-11,South Korea,Czech Republic,A,group,,,,,true,true,fifa_schedule_manual_entry,2026-06-18
wc2026_group_a_03,2026-06-18,Czech Republic,South Africa,A,group,,,,,true,true,fifa_schedule_manual_entry,2026-06-18
wc2026_group_a_04,2026-06-18,Mexico,South Korea,A,group,,,,,true,true,fifa_schedule_manual_entry,2026-06-18
wc2026_group_a_05,2026-06-24,Czech Republic,Mexico,A,group,,,,,true,true,fifa_schedule_manual_entry,2026-06-18
wc2026_group_a_06,2026-06-24,South Africa,South Korea,A,group,,,,,true,true,fifa_schedule_manual_entry,2026-06-18
wc2026_group_b_01,2026-06-12,Canada,Bosnia and Herzegovina,B,group,,,,,true,true,fifa_schedule_manual_entry,2026-06-18
wc2026_group_b_02,2026-06-13,Qatar,Switzerland,B,group,,,,,true,true,fifa_schedule_manual_entry,2026-06-18
wc2026_group_b_03,2026-06-18,Switzerland,Bosnia and Herzegovina,B,group,,,,,true,true,fifa_schedule_manual_entry,2026-06-18
wc2026_group_b_04,2026-06-18,Canada,Qatar,B,group,,,,,true,true,fifa_schedule_manual_entry,2026-06-18
wc2026_group_b_05,2026-06-24,Switzerland,Canada,B,group,,,,,true,true,fifa_schedule_manual_entry,2026-06-18
wc2026_group_b_06,2026-06-24,Bosnia and Herzegovina,Qatar,B,group,,,,,true,true,fifa_schedule_manual_entry,2026-06-18
wc2026_group_c_01,2026-06-13,Brazil,Morocco,C,group,,,,,true,true,fifa_schedule_manual_entry,2026-06-18
wc2026_group_c_02,2026-06-13,Haiti,Scotland,C,group,,,,,true,true,fifa_schedule_manual_entry,2026-06-18
wc2026_group_c_03,2026-06-19,Scotland,Morocco,C,group,,,,,true,true,fifa_schedule_manual_entry,2026-06-18
