match_id,match_date,team_a,team_b,team_a_goals,team_b_goals,result,status,went_to_extra_time,went_to_penalties,team_a_penalties,team_b_penalties,source,last_updated
wc2026_group_a_01,2026-06-11,Mexico,South Africa,2,0,team_a_win,completed,false,false,,,FIFA official API IdMatch 400021443 (https://api.fifa.com/api/v3/calendar/matches?language=en&count=100&idCompetition=17&idSeason=285023&from=2026-06-11&to=2026-06-24),2026-06-24
wc2026_group_a_02,2026-06-11,South Korea,Czech Republic,2,1,team_a_win,completed,false,false,,,FIFA official API IdMatch 400021441 (https://api.fifa.com/api/v3/calendar/matches?language=en&count=100&idCompetition=17&idSeason=285023&from=2026-06-11&to=2026-06-24),2026-06-24
wc2026_group_b_01,2026-06-12,Canada,Bosnia and Herzegovina,1,1,draw,completed,false,false,,,FIFA official API IdMatch 400021449 (https://api.fifa.com/api/v3/calendar/matches?language=en&count=100&idCompetition=17&idSeason=285023&from=2026-06-11&to=2026-06-24),2026-06-24
wc2026_group_d_01,2026-06-12,United States,Paraguay,4,1,team_a_win,completed,false,false,,,FIFA official API IdMatch 400021458 (https://api.fifa.com/api/v3/calendar/matches?language=en&count=100&idCompetition=17&idSeason=285023&from=2026-06-11&to=2026-06-24),2026-06-24
wc2026_group_b_02,2026-06-13,Qatar,Switzerland,1,1,draw,completed,false,false,,,FIFA official API IdMatch 400021447 (https://api.fifa.com/api/v3/calendar/matches?language=en&count=100&idCompetition=17&idSeason=285023&from=2026-06-11&to=2026-06-24),2026-06-24
wc2026_group_c_01,2026-06-13,Brazil,Morocco,1,1,draw,completed,false,false,,,FIFA official API IdMatch 400021456 (https://api.fifa.com/api/v3/calendar/matches?language=en&count=100&idCompetition=17&idSeason=285023&from=2026-06-11&to=2026-06-24),2026-06-24
wc2026_group_c_02,2026-06-13,Haiti,Scotland,0,1,team_b_win,completed,false,false,,,FIFA official API IdMatch 400021453 (https://api.fifa.com/api/v3/calendar/matches?language=en&count=100&idCompetition=17&idSeason=285023&from=2026-06-11&to=2026-06-24),2026-06-24
wc2026_group_d_02,2026-06-13,Australia,Turkey,2,0,team_a_win,completed,false,false,,,FIFA official API IdMatch 400021463 (https://api.fifa.com/api/v3/calendar/matches?language=en&count=100&idCompetition=17&idSeason=285023&from=2026-06-11&to=2026-06-24),2026-06-24
wc2026_group_e_01,2026-06-14,Germany,Curaçao,7,1,team_a_win,completed,false,false,,,FIFA official API IdMatch 400021464 (https://api.fifa.com/api/v3/calendar/matches?language=en&count=100&idCompetition=17&idSeason=285023&from=2026-06-11&to=2026-06-24),2026-06-24
wc2026_group_e_02,2026-06-14,Ivory Coast,Ecuador,1,0,team_a_win,completed,false,false,,,FIFA official API IdMatch 400021467 (https://api.fifa.com/api/v3/calendar/matches?language=en&count=100&idCompetition=17&idSeason=285023&from=2026-06-11&to=2026-06-24),2026-06-24
wc2026_group_f_01,2026-06-14,Netherlands,Japan,2,2,draw,completed,false,false,,,FIFA official API IdMatch 400021470 (https://api.fifa.com/api/v3/calendar/matches?language=en&count=100&idCompetition=17&idSeason=285023&from=2026-06-11&to=2026-06-24),2026-06-24
wc2026_group_f_02,2026-06-14,Sweden,Tunisia,5,1,team_a_win,completed,false,false,,,FIFA official API IdMatch 400021474 (https://api.fifa.com/api/v3/calendar/matches?language=en&count=100&idCompetition=17&idSeason=285023&from=2026-06-11&to=2026-06-24),2026-06-24
wc2026_group_g_01,2026-06-15,Belgium,Egypt,1,1,draw,completed,false,false,,,FIFA official API IdMatch 400021478 (https://api.fifa.com/api/v3/calendar/matches?language=en&count=100&idCompetition=17&idSeason=285023&from=2026-06-11&to=2026-06-24),2026-06-24
wc2026_group_g_02,2026-06-15,Iran,New Zealand,2,2,draw,completed,false,false,,,FIFA official API IdMatch 400021476 (https://api.fifa.com/api/v3/calendar/matches?language=en&count=100&idCompetition=17&idSeason=285023&from=2026-06-11&to=2026-06-24),2026-06-24
wc2026_group_h_01,2026-06-15,Spain,Cape Verde,0,0,draw,completed,false,false,,,FIFA official API IdMatch 400021482 (https://api.fifa.com/api/v3/calendar/matches?language=en&count=100&idCompetition=17&idSeason=285023&from=2026-06-11&to=2026-06-24),2026-06-24
wc2026_group_h_02,2026-06-15,Saudi Arabia,Uruguay,1,1,draw,completed,false,false,,,FIFA official API IdMatch 400021486 (https://api.fifa.com/api/v3/calendar/matches?language=en&count=100&idCompetition=17&idSeason=285023&from=2026-06-11&to=2026-06-24),2026-06-24
